	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
ＮＯ	見出し	教科書での形	分類	例文	教科書	トピック	課／PＡRT	JFSのトピック
42	～が欲しい	Nが欲しいです	願望	私はアクセサリーが欲しいです。	入門(りかい)	8　買い物	15　かわいい！	8　買い物
43	あげる	N1（人）にN2をあげます	授受	私はカーラさんに花をあげます。	入門(りかい)	8　買い物	15　かわいい！	8　買い物
44	もらう	N1（人）にN2をもらいます	授受	カーラさんはホセさんにチョコレートをもらいました。	入門(りかい)	8　買い物	15　かわいい！	8　買い物
45	～ました	V‐ました	時点・場面	去年、日本で時計を買いました。	入門(りかい)	8　買い物	15　かわいい！	8　買い物
46	～はいくらですか	N（これ／それ／あれ）はいくらですか	様子・状態	これはいくらですか。	入門(りかい)	8　買い物	16　これください	8　買い物
47	～をください	この／その／あのNをください	依頼・命令	このTシャツを ください。	入門(りかい)	8　買い物	16　これください	8　買い物
48	～ました	V‐ました	時点・場面	きのうデパートに行きました。	入門(りかい)	9　休みの日2	17　楽しかったです	3　自由時間と娯楽
49	～かったです	イA‐かったです	時点・場面　様子・状態	買い物は楽しかったです。	入門(りかい)	9　休みの日2	17　楽しかったです	3　自由時間と娯楽
50	～でした	ナA‐でした	時点・場面　様子・状態	デパートはにぎやかでした。	入門(りかい)	9　休みの日2	17　楽しかったです	3　自由時間と娯楽
51	どこにも・なにも	どこにも／なにもV‐ません	否定	私はどこにも行きませんでした。	入門(りかい)	9　休みの日2	17　楽しかったです	3　自由時間と娯楽
52	それから	S1。それから、S2。	時間的前後	お寺を見ました。それから、お土産を買いました。	入門(りかい)	9　休みの日2	18　次は京都に行きたいです	3　自由時間と娯楽 (6　旅行と交通)
53	でも	S1。でも、S2。	逆接･譲歩	お寿司は、おいしかったです。でも、高かったです。	入門(りかい)	9　休みの日2	18　次は京都に行きたいです	3　自由時間と娯楽 (6　旅行と交通)
54	そして	S1。そして、S2。	時間的前後	歌舞伎は、きれいでした。そして、おもしろかったです。	入門(りかい)	9　休みの日2	18　次は京都に行きたいです	3　自由時間と娯楽 (6　旅行と交通)
55	～たい	V‐ますたいです／たくないです	願望	京都に行きたいです。	入門(りかい)	9　休みの日2	18　次は京都に行きたいです	3　自由時間と娯楽 (6　旅行と交通)
56	～ている	V‐ています	様子・状態	私は東京に住んでいます。私は電車の会社で働いています。	初級1(りかい)	1　私と 家族	1　東京に住んでいます	1　自分と家族
57	～に	Nに 	時点・場面	東京に住んでいます。	初級1(りかい)	1　私と 家族	1　東京に住んでいます	1　自分と家族
58	～で	Nで	時点・場面	電車の会社で働いています。	初級1(りかい)	1　私と 家族	1　東京に住んでいます	1　自分と家族
59	～で	Nで	手段・媒介	会社まで電車で行きます。	初級1(りかい)	1　私と 家族	1　東京に住んでいます	1　自分と家族
60	～こと	V‐る＋こと	その他（名詞化）	趣味はクラシックを聞く ことです。	初級1(りかい)	1　私と 家族	2　趣味はクラシックを聞くことです	1　自分と家族 (3　自由時間と娯楽)
61	～とき	Nのとき、～	時点・場面	子どものとき、よく日本のアニメを見ました。	初級1(りかい)	1　私と 家族	2　趣味はクラシックを聞くことです	1　自分と家族 (3　自由時間と娯楽)
62	～とき	イA‐いとき、～	時点・場面	若いとき、よく旅行しました。	初級1(りかい)	1　私と 家族	2　趣味はクラシックを聞くことです	1　自分と家族 (3　自由時間と娯楽)
63	～とき	ナA‐なとき、～	時点・場面	暇なとき、料理を作ります。	初級1(りかい)	1　私と 家族	2　趣味はクラシックを聞くことです	1　自分と家族 (3　自由時間と娯楽)
64	～になる	Nになります	変化・不定	3月ごろ、春になります。	初級1(りかい)	2　季節と 天気	3　日本は今、春です	10　自然と環境
65	～くなる	イA‐くなります	変化・不定	3月ごろ、だんだん暖かくなります。	初級1(りかい)	2　季節と 天気	3　日本は今、春です	10　自然と環境
66	～になる	ナA‐になります	変化・不定	公園がきれいになります。	初級1(りかい)	2　季節と 天気	3　日本は今、春です	10　自然と環境
67	～（の）が好き	N／ナA‐なの／イA‐いの＋が好きです　 	説明	私は夏が好きです。	初級1(りかい)	2　季節と 天気	3　日本は今、春です	10　自然と環境
68	～のは好きじゃない	N／ナA‐なの／イA‐いの＋は好きじゃないです／苦手です	説明	私は暑いのは好きじゃないです。	初級1(りかい)	2　季節と 天気	3　日本は今、春です	10　自然と環境
69	～から	Sから、～	原因・理由	夏休みがありますから、夏が一番好きです。	初級1(りかい)	2　季節と 天気	3　日本は今、春です	10　自然と環境
70	～です／でした	N／ナA‐です／でした　　	時点・場面　様子・状態	昨日はすごい雨でしたね。	初級1(りかい)	2　季節と 天気	4　いい天気ですね	10　自然と環境
71	～です／かったです	イA‐いです／かったです	時点・場面　様子・状態	昨日は寒かったです。	初級1(りかい)	2　季節と 天気	4　いい天気ですね	10　自然と環境
72	～ます／ました	V‐ます／ました	時点・場面　様子・状態	今日は いい天気になりましたね。	初級1(りかい)	2　季節と 天気	4　いい天気ですね	10　自然と環境
73	～ている	V‐ています	進行	今、雪が降っています。	初級1(りかい)	2　季節と 天気	4　いい天気ですね	10　自然と環境
74	～くて	イA‐くて、～	並列・反復	この店は安くて、便利です。	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
75	～で	ナA‐で、～	並列・反復	このあたりはにぎやかで、おもしろいです。	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
76	～で	Nで、～	並列・反復	このあたりは新しい町で、人気があります。 	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
77	～けど	イA‐いけど、～	逆接･譲歩	この遊園地は楽しいけど、高いです。	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
78	～けど	ナA‐だけど、～	逆接･譲歩	この町はちょっと不便だけど、楽しいです。	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
79	～けど	Nだけど、～	逆接･譲歩	ここは遊園地だけど、おとなも多いです。	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
80	～や～（など）	N1やN2（など）　	例示	このあたりに高いビルやホテルがあります。	初級1(りかい)	3　私の町	5　この公園は広くて、きれいです	6　旅行と交通
81	～てください	V‐てください	依頼・命令	まっすぐ行ってください。	初級1(りかい)	3　私の町	6　まっすぐ行ってください	6　旅行と交通
82	～て	V1‐て、～	時間的前後	まっすぐ行って、信号を右に曲がってください。	初級1(りかい)	3　私の町	6　まっすぐ行ってください	6　旅行と交通
83	～くて～な／～い＋Ｎ	イA‐くてナA‐な／イA‐い＋N	並列・反復	あの大きくて白いビルです。	初級1(りかい)	3　私の町	6　まっすぐ行ってください	6　旅行と交通
84	～で～な／～い＋Ｎ	ナA‐でナA‐な／イA‐い＋N	並列・反復	日本的でおもしろい建物です。	初級1(りかい)	3　私の町	6　まっすぐ行ってください	6　旅行と交通
85	～じゃなくて	N1じゃなくて、N2　　      	対比	左じゃなくて、右です。	初級1(りかい)	3　私の町	6　まっすぐ行ってください	6　旅行と交通
86	～でもいい	Nでもいいですか	許可・禁止・義務・不必要	10時でもいいですか。	初級1(りかい)	4　出かける	7　10時でもいいですか	3　自由時間と娯楽
87	～で	Nで、～	原因・理由	渋滞で、遅れます。	初級1(りかい)	4　出かける	7　10時でもいいですか	3　自由時間と娯楽
88	～て	V‐て、～	原因・理由	道に迷って、遅れます。	初級1(りかい)	4　出かける	7　10時でもいいですか	3　自由時間と娯楽
89	もう（～た）	もうV‐ました　　　	経過・結末	もう美術館に行きましたか。	初級1(りかい)	4　出かける	8　もう夜景を見に行きましたか	3　自由時間と娯楽
90	まだ	まだです	経過・結末	いいえ、まだです。	初級1(りかい)	4　出かける	8　もう夜景を見に行きましたか	3　自由時間と娯楽
91	～のまえに	Nのまえに、～　  	時間的前後	朝ご飯のまえに、散歩を します。	初級1(りかい)	4　出かける	8　もう夜景を見に行きましたか	3　自由時間と娯楽
92	～のあとで	Nのあとで、～	時間的前後	朝ご飯のあとで、仕事を します。	初級1(りかい)	4　出かける	8　もう夜景を見に行きましたか	3　自由時間と娯楽
93	～に行く	Nに行きます　	目的	買い物に行きます。	初級1(りかい)	4　出かける	8　もう夜景を見に行きましたか	3　自由時間と娯楽
